time(ms),ax,ay,az,gx,gy,gz
4996,-0.010,-0.034,9.790,0.084,0.107,0.084
5142,0.053,0.019,9.896,-0.031,0.145,0.008
5287,-0.005,0.038,9.781,-0.092,0.084,0.107
5433,-0.014,0.010,9.761,-0.252,0.183,0.084
5579,-0.010,0.014,9.790,0.099,0.145,-0.069
5725,0.000,-0.048,9.718,0.191,-0.115,0.031
5871,-0.053,0.010,9.785,-0.084,0.061,-0.084
6018,-0.058,-0.038,9.795,-0.053,0.206,0.000
6165,0.034,-0.010,9.819,0.008,0.252,0.000
6310,-0.005,-0.010,9.857,-0.084,0.214,0.198
6457,0.038,-0.024,9.824,-0.183,0.084,0.000
6603,-0.053,0.019,9.742,-0.061,0.290,-0.145
6750,-0.019,0.067,9.771,-0.160,-0.275,0.168
6897,-0.024,0.029,9.838,0.069,0.160,0.092
7042,-0.029,0.014,9.867,-0.160,0.038,0.015
7188,-0.029,-0.038,9.800,-0.031,-0.061,0.053
7336,-0.029,-0.010,9.704,0.122,0.061,0.053
7482,0.005,0.000,9.867,0.000,0.046,0.137
7626,0.000,0.014,9.737,0.115,0.000,0.053
7770,-0.024,-0.053,9.728,-0.214,-0.107,-0.053
7919,-0.115,-0.014,9.709,0.115,-0.107,-0.061
8067,-0.010,0.000,9.833,0.015,0.229,0.023
8212,-0.005,-0.082,9.795,-0.153,-0.023,0.008
8360,-0.067,0.034,9.886,-0.076,0.351,-0.092
8507,-0.062,0.062,9.881,0.412,-0.099,-0.069
8654,-0.038,0.019,9.838,-0.061,0.092,-0.069
8801,-0.014,0.014,9.843,0.176,-0.084,0.183
8947,0.019,0.048,9.723,0.038,0.031,0.053
9091,-0.014,0.038,9.752,-0.099,0.000,-0.008
9238,0.005,-0.010,9.785,-0.023,-0.038,-0.038
9386,0.010,0.029,9.790,0.122,0.084,0.061
9530,0.005,0.034,9.790,-0.038,-0.115,-0.046
9677,-0.019,0.005,9.829,-0.008,0.115,0.015
9823,-0.014,-0.082,9.814,-0.107,-0.023,0.191
9971,-0.043,0.010,9.733,-0.183,-0.061,0.000
10118,0.532,-1.103,9.843,-1.191,-6.443,28.656
10267,-0.038,0.043,9.805,0.214,-0.099,0.038
10414,-1.328,2.277,11.593,28.084,-38.863,11.679
10565,-0.738,1.688,9.474,-149.847,62.374,53.748
10716,-2.402,-2.853,8.606,-58.176,32.786,24.962
10867,-1.913,-2.642,8.040,174.015,-62.947,-56.718
11020,1.884,2.042,9.133,162.588,-76.695,-76.107
11171,-3.035,1.136,9.292,-174.290,87.580,-21.611
11323,-4.670,4.521,10.179,-209.420,106.878,190.534
11477,-3.529,0.005,8.453,-98.580,-60.359,-16.504
11629,-10.020,-2.690,9.977,22.870,9.275,150.214
11780,-3.979,-1.721,9.531,-100.183,-186.702,-48.939
11936,1.501,-0.921,8.659,-9.221,-25.382,-6.427
12086,1.927,-0.355,9.714,12.595,-28.542,27.267
12236,1.678,-0.216,9.857,-3.969,-15.603,57.641
12386,1.093,0.043,9.790,-20.321,-41.565,44.550
12536,0.571,-0.566,9.690,21.328,12.534,43.069
12685,0.489,-0.681,9.124,8.031,-3.679,53.260
12833,0.566,-0.628,9.924,12.840,-0.557,51.084
12982,0.173,-0.753,10.485,23.244,15.565,24.282
13132,-0.048,-0.575,10.111,-7.603,3.191,19.076
13282,-0.273,-0.105,9.637,-8.710,9.824,13.206
13431,-1.496,-0.959,9.057,-17.092,-21.031,-7.160
13583,-1.232,-0.997,10.279,-8.855,4.664,-34.855
13734,0.666,-0.911,9.440,-10.977,23.748,-67.771
13885,1.510,-1.050,10.222,41.855,34.260,-53.221
14036,0.182,-0.062,9.541,15.939,20.763,-40.588
14186,0.268,-0.623,9.536,5.412,5.786,-35.863
14334,0.129,-0.590,9.306,0.450,-5.389,-24.221
14483,-0.173,0.283,9.771,2.389,-4.947,-22.229
14632,0.187,0.129,9.958,-10.786,-12.382,-15.969
14783,0.791,-0.465,9.646,-4.076,-1.000,-11.969
14933,1.443,-0.767,9.627,-5.916,-5.153,-6.389
15082,1.860,-0.436,9.752,-6.130,-4.344,14.832
15231,0.858,-0.518,9.747,-9.382,-7.557,27.817
15380,1.031,-0.005,9.737,-1.656,-7.756,34.069
15529,0.777,-0.192,10.150,6.191,-18.145,33.069
15679,0.561,0.158,9.733,12.473,-5.885,34.099
15827,0.743,-0.129,9.608,10.672,-2.450,40.885
15976,-0.014,-0.110,9.833,-1.290,-6.649,59.519
16126,0.077,-0.695,9.579,0.588,-9.260,29.832
16274,0.825,-0.537,9.944,2.221,5.244,10.321
16421,-0.791,-0.494,9.771,-9.336,-0.809,-9.214
16571,-0.882,-0.666,9.809,1.046,16.069,-42.618
16721,-0.120,0.595,10.116,12.656,24.137,-60.763
16872,0.930,0.542,9.239,-17.794,8.107,-61.977
17021,-0.024,-0.144,10.059,5.000,-0.710,-45.832
17172,0.551,-0.312,9.018,-2.863,7.092,-27.542
17321,0.777,-0.355,10.083,-1.130,-1.519,-20.542
17472,1.012,-0.216,9.867,9.840,-4.969,-15.985
17621,2.920,0.216,10.145,19.221,-7.573,-13.740
