time(ms),ax,ay,az,gx,gy,gz
4996,-0.010,-0.034,9.790,0.084,0.107,0.084
5025.2,0.0026,-0.0234,9.8112,0.061,0.1146,0.0688
5077.56,0.0011,-0.0111,9.8052,0.0304,0.1085,0.0764
5148.648,-0.0019,-0.0069,9.7963,-0.0261,0.1234,0.078
5234.7184,-0.0035,-0.0027,9.7951,-0.0011,0.1277,0.0486
5332.7747,-0.0028,-0.0118,9.7796,0.0373,0.0792,0.045
5440.4198,-0.0129,-0.0074,9.7807,0.0131,0.0755,0.0192
5555.9358,-0.0219,-0.0135,9.7836,-0.0001,0.1016,0.0154
5677.7487,-0.0107,-0.0128,9.7907,0.0015,0.1317,0.0123
5804.1989,-0.0096,-0.0123,9.8039,-0.0156,0.1482,0.0495
5934.7591,-0.0001,-0.0146,9.8079,-0.0491,0.1353,0.0396
6068.4073,-0.0106,-0.0079,9.7948,-0.0515,0.1663,0.0026
6204.7258,-0.0123,0.0071,9.79,-0.0732,0.078,0.0357
6343.1807,-0.0147,0.0115,9.7996,-0.0447,0.0944,0.047
6482.9445,-0.0175,0.012,9.8131,-0.0678,0.0831,0.0406
6623.9556,-0.0198,0.002,9.8105,-0.0604,0.0543,0.0431
6766.3645,-0.0217,-0.0004,9.7892,-0.0239,0.0556,0.0451
6909.4916,-0.0163,-0.0003,9.8047,-0.0192,0.0537,0.0634
7052.7933,-0.0131,0.0025,9.7912,0.0077,0.043,0.0614
7196.2346,-0.0152,-0.0086,9.7786,-0.0367,0.013,0.0385
7340.7877,-0.0352,-0.0097,9.7646,-0.0063,-0.011,0.0186
7486.0302,-0.0302,-0.0077,9.7783,-0.0021,0.037,0.0195
7631.2241,-0.0251,-0.0226,9.7817,-0.0323,0.025,0.0172
7776.9793,-0.0335,-0.0113,9.8025,-0.041,0.0902,-0.0047
7922.9834,-0.0392,0.0034,9.8182,0.0496,0.0524,-0.0175
8069.1868,-0.039,0.0065,9.8222,0.0275,0.0603,-0.0278
8215.5494,-0.034,0.008,9.8263,0.0572,0.0314,0.0143
8361.8395,-0.0234,0.016,9.8057,0.0533,0.0313,0.0221
8507.6716,-0.0215,0.0204,9.7949,0.0229,0.0251,0.0161
8653.7373,-0.0162,0.0143,9.7929,0.0137,0.0125,0.0052
8800.1898,-0.011,0.0173,9.7924,0.0354,0.0268,0.0164
8946.1519,-0.0078,0.0206,9.7919,0.0207,-0.0016,0.0039
9092.3215,-0.01,0.0175,9.7993,0.015,0.0217,0.0061
9238.4572,-0.0108,-0.0024,9.8022,-0.0094,0.0128,0.0431
9384.9658,-0.0172,0.0001,9.7884,-0.0442,-0.002,0.0345
9531.5726,0.0926,-0.2205,9.7993,-0.2735,-1.2902,5.7588
9678.6581,0.0665,-0.1678,9.8005,-0.176,-1.0519,4.6146
9825.7265,-0.2124,0.3211,10.159,5.476,-8.6142,6.0275
9973.5812,-0.3175,0.5945,10.022,-25.5886,5.5835,15.5716
10122.0649,-0.7344,-0.095,9.7388,-32.1061,11.024,17.4497
10271.052,-0.9701,-0.6044,9.399,9.1181,-3.7702,2.6161
10420.8416,-0.3993,-0.0751,9.3458,39.8121,-18.3552,-13.1285
10570.8732,-0.9265,0.1671,9.3351,-3.0083,2.8319,-14.825
10721.2986,-1.6752,1.0379,9.5038,-44.2907,23.6411,26.2468
10872.4389,-2.0459,0.8313,9.2937,-55.1485,6.8411,17.6966
11023.7511,-3.6407,0.127,9.4303,-39.5448,7.3279,44.2001
11175.0009,-3.7084,-0.2426,9.4505,-51.6725,-31.4781,25.5723
11327.2007,-2.6665,-0.3783,9.2922,-43.1822,-30.2589,19.1724
11478.9606,-1.7478,-0.3736,9.3765,-32.0267,-29.9155,20.7913
11630.3685,-1.0626,-0.3421,9.4726,-26.4152,-27.053,28.1613
11781.4948,-0.6315,-0.2651,9.5361,-25.1963,-29.9554,31.439
11932.3958,-0.391,-0.3253,9.5669,-15.8915,-21.4575,33.765
12082.9166,-0.215,-0.3964,9.4783,-11.107,-17.9018,37.664
12232.9333,-0.0588,-0.4427,9.5674,-6.3176,-14.4329,40.348
12382.7467,-0.0124,-0.5048,9.751,-0.4053,-8.4333,37.1348
12532.5973,-0.0196,-0.5188,9.823,-1.8448,-6.1084,33.523
12682.4779,-0.0702,-0.4361,9.7858,-3.2179,-2.9219,29.4596
12832.1823,-0.3554,-0.5406,9.64,-5.9927,-6.5438,22.1357
12982.3458,-0.5307,-0.6319,9.7678,-6.5651,-4.3022,10.7376
13132.6767,-0.2914,-0.6877,9.7023,-7.4475,1.3078,-4.9641
13283.1413,0.0689,-0.7602,9.8062,2.413,7.8983,-14.6155
13433.7131,0.0915,-0.6205,9.7532,5.1182,10.4712,-19.81
13584.1705,0.1268,-0.621,9.7097,5.177,9.5342,-23.0206
13734.1364,0.1273,-0.6148,9.629,4.2316,6.5495,-23.2607
13883.9091,0.0672,-0.4353,9.6574,3.863,4.2502,-23.0544
14033.5273,0.0912,-0.3224,9.7175,0.9332,0.9238,-21.6373
14183.4218,0.2311,-0.3509,9.7032,-0.0686,0.539,-19.7036
14333.3375,0.4735,-0.4341,9.688,-1.2381,-0.5994,-17.0407
