time(ms),ax,ay,az,gx,gy,gz,temp
226,0.0205078125,0.0375976562,0.9912109375,-0.0381679386,0.1526717544,0.0687022880,26.3182353973
445,0.0302734375,0.0444335937,0.9902343750,-0.2824427485,-0.1450381726,0.0916030556,26.4123535156
662,0.0322265625,0.0395507813,0.9868164063,-0.1526717544,0.0381679386,0.1145038158,26.3182353973
879,0.0346679687,0.0400390625,0.9902343750,-0.2061068714,0.0000000000,0.0381679386,26.3182353973
1098,0.0288085938,0.0405273437,0.9853515625,-0.0229007639,0.0000000000,0.0916030556,26.3652935028
1321,0.0322265625,0.0458984375,0.9858398438,-0.0381679386,-0.1374045759,-0.0839694664,26.3652935028
1538,0.0244140625,0.0400390625,0.9902343750,0.0458015278,0.0763358772,0.1526717544,26.2711772919
1757,0.0249023437,0.0415039062,0.9960937500,-0.1450381726,0.2519083917,0.0610687025,26.4123535156
1975,0.0322265625,0.0483398437,0.9887695313,-0.3969465792,0.1908396930,0.0305343512,26.3182353973
2195,0.0288085938,0.0366210937,0.9863281250,-0.3435114622,0.0381679386,-0.1755725145,26.3182353973
2414,0.0307617187,0.0415039062,0.9897460938,-0.2519083917,0.2061068714,0.0381679386,26.2711772919
2635,0.0297851563,0.0405273437,0.9902343750,-0.1374045759,0.0305343512,0.0687022880,26.2711772919
2854,0.0283203125,0.0375976562,0.9819335938,-0.2595419884,0.0000000000,0.1068702266,26.3182353973
3073,0.0283203125,0.0444335937,0.9941406250,-0.1984732896,0.0610687025,0.0839694664,26.4123535156
3293,0.0312500000,0.0380859375,0.9975585938,-0.0534351133,0.2137404531,-0.0610687025,26.2711772919
3513,0.0327148437,0.0380859375,0.9960937500,-0.0839694664,0.1832061112,-0.0076335878,26.3652935028
3734,0.0317382812,0.0341796875,0.9765625000,-0.2213740498,0.1221374050,0.0839694664,26.3182353973
3952,0.0297851563,0.0385742188,0.9863281250,-0.0305343512,0.0992366448,0.0076335878,26.3182353973
4169,0.0292968750,0.0336914062,0.9887695313,0.0076335878,0.0000000000,0.0152671756,26.4123535156
4388,0.0292968750,0.0302734375,1.0000000000,-0.3816793859,0.2671755850,0.0610687025,26.4594116211
4607,0.0244140625,0.0400390625,0.9907226563,-0.0916030556,0.0076335878,0.0839694664,26.3652935028
4828,0.0219726562,0.0454101562,0.9877929688,0.0687022880,-0.1145038158,0.0458015278,26.3652935028
5048,0.0302734375,0.0375976562,0.9936523438,-0.0152671756,0.1526717544,-0.0992366448,26.2711772919
5268,0.0322265625,0.0415039062,0.9990234375,-0.1832061112,-0.1450381726,0.0152671756,26.3182353973
5488,0.0224609375,0.0429687500,0.9892578125,-0.0687022880,-0.0381679386,0.0534351133,26.3182353973
5707,0.0273437500,0.0332031250,0.9980468750,-0.1603053361,0.2061068714,0.1603053361,26.3182353973
5929,0.0278320312,0.0346679687,0.9985351563,-0.2366412282,0.0916030556,-0.0152671756,26.3652935028
6150,0.0249023437,0.0390625000,0.9926757813,-0.2137404531,-0.2366412282,-0.0229007639,26.3652935028
6369,0.0288085938,0.0444335937,0.9853515625,-0.1145038158,0.1526717544,0.0687022880,26.4123535156
6588,0.0263671875,0.0336914062,0.9912109375,0.1221374050,-0.1755725145,0.0992366448,26.3182353973
6808,0.0292968750,0.0356445312,1.0029296875,-0.1526717544,-0.2442748100,0.0152671756,26.3182353973
7029,0.0249023437,0.0434570312,0.9897460938,-0.2137404531,0.0763358772,0.0916030556,26.2711772919
7250,0.0263671875,0.0336914062,0.9941406250,-0.0458015278,-0.0381679386,-0.0992366448,26.2711772919
7470,0.0327148437,0.0395507813,0.9868164063,-0.1603053361,0.2061068714,-0.0839694664,26.3652935028
7690,0.0297851563,0.0415039062,0.9882812500,-0.1297709942,-0.0534351133,0.0458015278,26.3182353973
7909,0.0283203125,0.0449218750,0.9946289063,-0.0916030556,0.1984732896,0.1221374050,26.3182353973
8128,0.0302734375,0.0419921875,0.9853515625,-0.2290076315,0.1221374050,0.0992366448,26.3182353973
8349,0.0366210937,0.0429687500,0.9960937500,-0.1679389328,0.0000000000,0.1679389328,26.4123535156
8567,0.0258789062,0.0429687500,0.9960937500,-0.0152671756,0.2061068714,0.1145038158,26.3652935028
8786,0.0273437500,0.0424804687,0.9877929688,0.0000000000,0.0992366448,-0.1221374050,26.3652935028
9005,0.0302734375,0.0385742188,0.9897460938,-0.1221374050,-0.0839694664,0.0610687025,26.4123535156
9225,0.0249023437,0.0375976562,0.9990234375,-0.1832061112,-0.0839694664,0.0152671756,26.4123535156
9446,0.0268554687,0.0390625000,0.9946289063,-0.0763358772,0.1221374050,0.0992366448,26.3652935028
9665,0.0288085938,0.0385742188,0.9965820313,-0.1908396930,0.2366412282,0.0992366448,26.3652935028
9883,0.0302734375,0.0454101562,0.9946289063,-0.0458015278,0.1984732896,0.0992366448,26.3182353973
10103,0.0336914062,0.0385742188,0.9882812500,-0.0458015278,-0.0458015278,0.0534351133,26.3182353973
10325,0.0288085938,0.0419921875,0.9912109375,-0.0992366448,-0.1374045759,-0.0839694664,26.2711772919
10549,0.0336914062,0.0371093750,0.9746093750,-0.0687022880,-0.0305343512,-0.0229007639,26.3652935028
10770,0.0283203125,0.0429687500,0.9892578125,0.0992366448,-0.0229007639,-0.1221374050,26.3182353973
10992,0.0292968750,0.0371093750,0.9916992188,-0.0916030556,-0.0610687025,-0.0076335878,26.3182353973
11213,0.0292968750,0.0380859375,0.9946289063,-0.1374045759,-0.1374045759,0.1526717544,26.3652935028
11434,0.0273437500,0.0419921875,0.9848632813,-0.0916030556,-0.0381679386,0.0381679386,26.3652935028
11657,0.0292968750,0.0375976562,0.9951171875,-0.2442748100,0.0610687025,-0.0305343512,26.3182353973
11879,0.0263671875,0.0415039062,0.9877929688,-0.0305343512,-0.0229007639,-0.1603053361,26.3182353973
12100,0.0332031250,0.0424804687,0.9868164063,-0.1068702266,0.1984732896,-0.0152671756,26.4123535156
12320,0.0327148437,0.0395507813,0.9887695313,-0.2442748100,0.1374045759,0.0992366448,26.3652935028
12540,0.0317382812,0.0405273437,0.9887695313,0.0992366448,0.2366412282,-0.0610687025,26.3182353973
12764,0.0253906250,0.0463867187,0.9877929688,-0.1908396930,-0.0458015278,-0.0458015278,26.3182353973
12986,0.0317382812,0.0454101562,0.9956054688,-0.0687022880,-0.0305343512,-0.0152671756,26.3652935028
13206,0.0336914062,0.0429687500,0.9926757813,-0.1297709942,0.1908396930,0.0763358772,26.3652935028
13426,0.0268554687,0.0336914062,0.9902343750,-0.1450381726,0.0381679386,0.0839694664,26.2241172791
13646,0.0317382812,0.0390625000,0.9882812500,-0.1450381726,0.0000000000,0.0229007639,26.3182353973
13868,0.0288085938,0.0371093750,0.9848632813,-0.1526717544,0.0687022880,0.1221374050,26.2711772919
14089,0.0214843750,0.0454101562,0.9941406250,-0.2137404531,-0.1068702266,0.0000000000,26.3652935028
14310,0.0351562500,0.0375976562,1.0019531250,-0.3282442689,-0.0534351133,0.1450381726,26.2241172791
14530,0.0283203125,0.0502929687,0.9838867188,-0.1832061112,0.0687022880,0.0763358772,26.3182353973
14750,0.0268554687,0.0356445312,0.9916992188,-0.0839694664,0.0610687025,0.1068702266,26.3652935028
14970,0.0229492187,0.0434570312,0.9833984375,-0.1145038158,0.1068702266,0.1374045759,26.2711772919
15193,0.0288085938,0.0449218750,0.9882812500,-0.0916030556,-0.0305343512,0.0152671756,26.4123535156
15413,0.0341796875,0.0336914062,0.9892578125,-0.2061068714,0.0763358772,0.1450381726,26.4123535156
15633,0.0297851563,0.0332031250,0.9936523438,-0.1145038158,0.0076335878,0.0152671756,26.2711772919
15854,0.0317382812,0.0419921875,0.9775390625,0.0763358772,-0.5343511701,-0.0534351133,26.4594116211
16077,0.0327148437,0.0893554688,0.9697265625,-0.8015267253,-1.0000000000,-22.0000000000,26.4123535156
16298,0.0673828125,0.0302734375,0.9790039063,0.0381679386,0.5648854971,6.8625955582,26.3182353973
16519,0.0712890625,0.1264648438,1.2666015625,5.4198474884,28.2748088837,-2.5496182442,26.3652935028
16742,-0.1176757813,-0.0283203125,0.9399414063,-5.2366414070,1.8931298256,21.3511447906,26.3652935028
